,Bacteroides,Faecalibacterium,Prevotella,Roseburia,Ruminococcus,Bifidobacterium,Akkermansia,Lactobacillus,Clostridium,Escherichia,Enterococcus,Streptococcus,Dorea,Eubacterium,Coprococcus,Dialister,Parabacteroides,Alistipes,Veillonella,Anaerostipes,Phascolarctobacterium,Sutterella,Butyricicoccus,Oscillibacter,Bilophila,Hyphomicrobium,Megasphaera,Pseudobutyrivibrio,Mitsuokella,Holdemanella,Blautia,Gemmiger,Sarcina,Odoribacter,Christensenella,Anaerovorax,Butyricimonas,Lachnospira,Coprobacillus,Pectinatus
Sample_022,306,569,295,1768,912,287,542,316,55,212,312,12,746,219,1122,205,291,620,818,264,303,75,195,101,237,496,1232,119,888,577,236,34,691,725,423,53,55,79,170,76
Sample_023,394,989,441,2470,1651,387,1069,550,131,433,549,41,1181,468,1733,389,418,1002,1203,406,433,124,263,176,357,815,2184,171,1465,1164,399,58,1117,1309,655,112,65,210,342,198
Sample_024,501,998,574,3049,1840,433,1143,808,175,521,719,36,1558,546,1947,456,494,1064,1697,348,605,162,469,225,401,982,2777,200,1590,1256,364,73,987,1570,786,192,80,202,370,171
Sample_025,384,764,345,2417,1371,182,883,541,130,416,419,26,1106,385,1588,417,342,782,1125,382,466,122,325,184,326,731,1882,155,1396,957,433,44,888,1186,512,83,39,109,220,117
Sample_026,354,611,288,1726,1109,208,649,308,123,281,353,13,780,308,1240,284,273,681,956,351,320,100,186,88,307,593,1683,148,922,724,214,35,859,837,492,102,35,89,181,108
Sample_027,114,289,107,722,400,88,245,151,32,104,151,13,366,157,518,126,148,246,348,87,146,40,89,60,107,200,619,62,390,324,145,17,286,377,171,20,22,37,86,22
Sample_028,391,960,411,2843,1648,387,990,649,92,374,593,22,1271,550,1902,440,539,957,1363,541,524,100,303,171,432,811,2312,258,1409,1134,397,64,1128,1319,742,94,65,216,300,133
Sample_029,132,356,142,874,475,140,335,201,50,116,166,20,433,162,570,102,125,308,410,134,173,36,157,78,165,224,696,54,470,302,106,25,345,406,265,44,21,42,112,67
Sample_030,405,888,520,2498,1483,354,867,507,122,384,601,47,1268,527,1815,431,445,929,1376,398,445,154,361,188,500,781,1975,196,1367,1060,383,32,1004,1480,704,68,61,167,219,162
Sample_031,271,777,367,1955,1375,279,714,411,90,341,483,17,989,410,1356,239,398,776,1126,317,331,112,233,186,388,651,1810,129,986,952,426,48,842,1030,465,94,42,59,273,78
Sample_032,343,782,308,2282,1204,214,852,469,102,302,546,5,904,393,1469,288,397,832,975,412,435,128,295,149,302,728,1710,175,1077,877,387,39,827,1195,595,92,19,125,279,105
Sample_033,93,221,95,566,293,69,222,156,15,94,88,4,243,116,413,68,96,231,344,95,117,30,68,55,100,162,450,30,317,246,97,12,223,300,185,18,12,38,66,27
Sample_034,614,1032,671,3630,2270,539,1120,922,317,499,908,7,1514,946,2306,561,655,1348,1696,529,706,134,517,216,470,1021,2524,243,1896,1375,671,55,1235,1634,896,245,167,230,627,57
Sample_035,631,1045,515,2883,1840,297,1000,585,93,486,592,56,1631,534,2614,527,653,1119,1575,495,689,243,255,253,595,1094,2604,203,1982,1096,616,52,995,1805,753,34,52,175,328,124
Sample_036,576,1214,606,2880,1840,423,1258,727,127,482,603,0,1422,505,2476,362,529,1084,1648,600,541,166,518,277,500,1091,2665,192,1757,1375,355,52,1226,1585,748,112,71,194,215,154
Sample_037,493,1271,639,3250,2009,513,1049,718,141,479,544,44,1602,757,2253,297,545,1215,1634,587,573,237,425,225,431,1144,2707,303,1862,1337,556,48,1486,1478,888,94,102,182,496,195
Sample_038,346,663,298,1782,1094,255,723,405,61,276,400,9,908,272,1257,225,277,676,967,349,283,92,206,167,278,593,1596,129,1033,804,268,59,730,949,577,34,43,155,250,86
Sample_039,399,1079,414,3176,1922,366,1005,671,143,499,586,28,1412,557,2049,413,502,1033,1603,462,590,136,416,226,449,857,2488,233,1550,1251,446,83,1222,1595,688,80,43,162,389,213
Sample_040,52,229,80,541,297,101,255,132,35,85,98,2,231,83,341,76,63,218,294,118,97,39,90,34,60,165,566,48,275,245,96,6,177,274,190,6,12,28,50,16
Sample_041,648,1304,587,3692,2191,564,1391,780,176,567,816,27,1661,745,2542,615,664,1296,1923,666,775,182,392,324,539,1161,3440,278,1973,1491,637,64,1518,1881,843,115,77,213,429,232
Sample_042,303,653,230,1745,1085,235,684,487,93,298,382,13,834,306,1437,250,352,717,995,341,347,86,210,173,352,566,1565,119,1152,705,273,32,648,897,394,75,69,148,263,106
Sample_043,241,582,239,1494,946,273,519,357,83,248,290,2,820,348,1097,253,317,632,747,304,278,64,187,127,202,507,1261,100,867,640,288,24,679,704,502,56,40,121,161,120
Sample_044,683,1321,515,3171,2328,536,1313,673,206,521,733,17,1617,704,2187,332,667,1340,1869,623,476,181,499,377,666,946,3284,245,1565,1261,518,76,1464,1608,825,174,97,241,454,188
Sample_045,333,963,427,2522,1645,439,1025,503,90,427,638,18,1266,498,1781,377,345,952,1535,527,459,140,359,223,404,828,2361,191,1331,1364,435,57,1152,1246,613,102,58,174,243,130
Sample_046,187,578,188,1360,841,244,566,361,67,303,298,20,669,332,910,197,272,485,748,211,287,45,185,197,195,500,1273,99,763,590,180,10,537,714,423,51,71,121,128,84
Sample_047,366,937,300,2354,1192,279,765,485,146,290,489,28,1238,341,1538,330,376,1014,1226,329,452,124,331,292,324,711,2216,163,1402,1042,330,39,994,1264,650,125,35,122,202,95
Sample_048,384,1169,544,3212,1866,516,1126,801,135,650,697,40,1475,665,2153,505,811,1461,1800,509,616,254,415,347,535,1078,2507,253,1553,1434,486,65,1320,1895,1031,137,98,196,381,201
Sample_049,166,296,141,877,514,168,311,179,13,152,192,26,384,167,586,89,145,355,510,135,118,54,93,60,125,314,714,79,347,415,157,18,348,408,252,21,20,44,86,66
Sample_050,364,681,306,2005,1328,341,816,432,55,419,464,30,989,347,1638,280,338,826,1151,321,383,91,309,142,344,812,1865,114,1142,836,308,36,869,1078,549,31,28,157,208,129
Sample_051,275,488,214,1298,881,213,495,300,44,229,328,5,618,239,937,209,230,511,862,245,232,56,170,117,229,436,1109,112,733,557,197,24,555,675,337,37,29,83,165,93
Sample_052,244,635,320,1723,1051,272,608,390,85,277,382,9,815,300,1207,202,391,643,901,317,338,62,192,172,336,587,1599,139,927,793,264,26,698,821,395,58,34,108,186,110
Sample_053,119,276,103,725,465,97,281,179,18,167,135,9,329,127,518,88,164,270,387,155,112,24,79,40,138,211,586,50,351,318,125,19,277,368,194,20,24,34,63,62
Sample_054,120,247,137,690,466,104,268,155,29,129,141,3,314,152,548,113,197,268,376,97,163,28,98,55,131,272,680,44,375,273,102,12,298,362,218,25,27,71,90,38
Sample_055,160,385,137,851,590,173,341,204,50,149,203,6,417,198,628,113,140,419,500,160,178,30,75,75,150,333,820,101,469,348,154,10,361,401,224,48,34,42,142,53
Sample_056,197,378,183,1092,697,181,442,277,89,185,222,3,512,202,786,189,181,417,581,161,247,69,133,74,156,397,973,87,604,415,117,18,528,551,302,36,40,87,126,86
Sample_057,183,344,158,1045,642,126,419,271,59,192,242,5,434,198,722,152,205,484,544,152,210,57,107,101,209,315,907,65,553,477,194,41,413,605,315,45,30,54,134,63
Sample_058,404,845,510,2477,1541,353,879,569,151,441,590,13,1243,412,1767,426,476,1035,1243,411,540,195,324,201,345,853,1924,169,1246,1039,357,64,832,1250,731,129,51,179,317,219
Sample_059,369,568,278,1818,1126,279,691,473,78,271,354,7,937,424,1357,304,375,711,1068,306,324,103,248,192,269,667,1541,133,1062,827,266,24,841,953,543,91,26,90,232,142
Sample_060,544,1082,567,3055,1787,342,1266,555,152,582,677,14,1413,652,2257,460,559,1203,1507,488,631,97,410,303,584,1012,2992,228,1718,1309,550,96,1442,1971,904,137,92,114,326,229
Sample_061,146,209,145,661,453,107,260,132,32,90,148,6,292,115,497,97,124,287,422,95,126,37,108,65,117,258,653,83,385,346,118,17,292,347,198,26,11,41,84,45
Sample_062,380,1084,518,2729,1733,445,944,599,105,503,536,44,1129,546,1833,293,568,938,1437,480,515,175,308,192,410,907,2455,206,1433,1407,412,37,1026,1454,735,71,88,142,365,178
Sample_063,274,621,272,1838,960,265,635,373,81,278,377,6,839,370,1258,260,302,680,979,377,363,83,219,146,245,570,1550,179,1018,820,311,33,752,954,472,70,28,101,215,117
Sample_064,227,662,251,1778,941,218,621,304,83,299,347,23,851,290,1177,292,385,593,923,258,374,81,200,152,273,504,1433,117,808,628,205,26,674,834,384,46,20,76,222,99
Sample_065,116,262,90,678,397,92,259,154,36,93,155,2,325,133,507,103,119,265,385,115,102,36,77,51,115,236,639,65,358,291,118,13,271,372,190,27,18,55,83,36
Sample_066,329,550,202,1903,1147,274,770,363,58,344,439,11,895,425,1385,305,302,732,917,277,357,81,251,137,266,694,1421,203,842,1050,373,33,783,963,529,71,53,166,211,122
Sample_067,440,1431,586,3636,2009,527,1098,847,136,611,722,24,1468,757,2457,530,689,1356,2035,605,598,172,512,222,512,1369,2905,321,1817,1598,526,97,1657,1702,881,109,77,300,372,233
Sample_068,321,609,216,1601,780,221,600,342,47,247,280,42,869,303,1142,141,243,563,716,256,257,47,216,137,223,416,1262,127,805,640,268,35,556,822,377,42,26,95,156,122
Sample_069,435,1407,510,3370,2172,425,1354,636,190,683,867,15,1678,535,2457,455,727,1229,1937,636,659,153,419,310,695,974,2883,424,1817,1535,567,121,1497,1698,865,103,27,193,453,274
Sample_070,390,780,517,2783,1469,359,1125,363,104,410,593,32,1251,409,1887,349,425,977,1062,416,462,74,361,319,358,726,2070,145,1215,1210,326,19,1130,1447,673,194,104,237,301,209
Sample_071,522,1018,398,2966,1901,488,1233,635,164,473,652,19,1319,587,1953,470,586,1243,1688,488,532,164,307,229,524,933,2821,211,1583,1143,611,75,1296,1793,874,100,73,241,258,172
Sample_072,92,155,106,530,308,77,188,104,29,73,118,5,196,104,377,100,115,191,237,66,71,36,42,57,116,145,474,50,237,211,93,19,209,283,127,25,2,33,70,31
Sample_073,511,1195,655,3563,1872,463,1444,624,249,545,761,54,1670,588,2718,571,637,1382,2053,839,748,260,531,220,546,1239,3018,301,2147,1495,543,83,1479,1925,1007,133,89,259,471,162
Sample_074,268,630,309,1649,1228,229,601,359,92,221,389,18,745,250,1183,189,349,624,953,319,366,120,216,101,242,605,1466,130,806,728,317,39,747,904,408,53,48,103,209,110
Sample_075,192,284,124,780,455,114,281,169,47,120,214,9,356,175,496,145,144,289,393,119,178,51,112,75,165,273,689,47,413,346,149,21,314,402,229,34,21,30,92,43
Sample_076,265,620,253,1755,971,248,765,287,60,240,400,18,836,280,1149,316,343,709,920,296,296,100,220,172,310,504,1574,156,934,849,368,40,855,906,433,64,42,72,204,117
Sample_077,97,189,66,493,338,79,225,83,15,90,117,9,234,103,375,79,69,201,215,89,102,31,49,51,68,160,430,38,264,234,65,12,198,258,113,22,10,32,58,36
Sample_078,380,937,448,2528,1467,333,882,540,59,365,573,37,1120,496,1733,292,403,932,1181,441,464,143,279,192,386,809,2257,177,1309,1166,299,63,1076,1164,649,58,73,124,286,135
Sample_079,129,211,115,605,379,81,214,150,34,135,161,6,317,109,494,93,125,190,306,118,123,16,91,57,89,203,596,71,328,258,108,10,301,332,157,27,21,47,52,35
Sample_080,302,739,418,1928,1611,195,731,332,113,368,464,10,1151,301,1633,308,344,868,1163,331,352,134,177,128,307,475,1630,98,958,894,326,64,929,1115,505,57,63,83,370,143
Sample_081,387,735,197,1936,1114,331,694,440,78,332,383,19,863,418,1254,291,368,751,960,262,334,90,242,177,326,623,1627,157,1064,875,320,30,764,1030,491,77,47,82,221,90
Sample_082,477,1441,619,3665,2303,391,1331,676,139,477,743,13,1719,743,2434,531,546,1117,1914,585,619,127,456,306,616,1038,3105,335,1768,1616,603,51,1499,1863,1105,119,61,223,501,202
Sample_083,377,913,390,2244,1383,266,928,494,79,375,451,25,1111,435,1745,260,380,896,1223,313,459,119,304,169,288,775,1864,140,1187,985,306,19,1017,1314,563,79,49,106,296,115
Sample_084,320,735,322,1874,1210,263,808,437,61,288,410,14,1044,376,1460,238,318,771,1045,401,372,83,274,188,338,636,1706,128,1121,974,358,56,847,1076,604,90,67,154,241,121
Sample_085,428,993,472,2792,1557,351,1104,623,118,403,586,11,1295,565,2077,437,529,1167,1498,533,583,146,406,283,468,879,2301,273,1500,1190,545,79,1211,1391,667,75,45,173,398,127
Sample_086,380,802,289,2451,1439,311,820,554,106,477,456,53,1100,411,1593,315,426,839,1492,407,409,106,274,216,480,816,2022,176,1086,921,365,73,945,1179,664,66,35,226,282,166
Sample_087,149,417,110,784,515,166,191,185,20,208,269,9,291,133,564,157,194,236,381,68,98,28,147,43,154,324,660,71,426,303,109,36,371,456,179,52,21,89,96,51
Sample_088,594,1329,474,3506,2006,469,1141,836,178,648,707,33,1726,715,2326,510,584,1263,1700,633,676,137,384,263,562,1050,2878,217,1798,1650,554,57,1438,1831,933,136,38,169,422,202
Sample_089,357,807,373,2543,1475,369,859,563,116,394,578,28,1116,445,1647,412,410,1153,1346,479,455,122,302,190,360,825,1951,208,1380,1082,352,35,994,1550,722,97,36,159,207,180
Sample_090,347,837,410,2137,1744,404,966,552,124,420,546,9,1211,412,1650,329,393,874,1368,372,434,105,373,152,438,730,2010,266,1710,1030,313,65,1040,1173,570,31,63,160,314,138
Sample_091,133,267,115,681,421,122,242,127,35,127,186,6,338,123,463,123,141,352,378,108,127,22,63,47,93,285,627,86,511,353,128,14,292,430,171,27,6,36,95,49
Sample_092,234,573,262,1411,1162,247,540,306,57,315,444,13,647,335,949,291,259,610,955,308,320,54,241,155,274,463,1426,101,872,582,315,24,689,898,507,66,48,91,178,74
Sample_093,387,846,308,2135,1477,354,870,469,138,409,431,1,891,392,1702,348,524,699,1181,265,461,96,314,111,339,560,1591,173,1047,984,359,35,704,1009,581,16,11,172,309,218
Sample_094,451,1030,467,2639,1547,393,873,688,138,447,490,21,1401,560,1952,391,469,1043,1607,447,527,125,342,212,437,968,2261,265,1377,1155,426,43,1152,1408,622,70,63,145,223,131
Sample_095,275,787,362,1928,1111,391,779,484,75,229,402,47,1053,334,1374,232,261,623,1090,275,309,52,310,102,358,657,1587,189,1036,805,273,38,908,1040,593,113,49,130,214,139
Sample_096,421,1406,712,3569,2085,522,1415,708,126,668,718,17,1638,662,2545,484,535,1191,1823,663,652,167,534,251,565,969,2808,372,1927,1593,502,102,1466,1696,1014,83,40,206,313,133
Sample_097,456,768,391,2092,1217,384,838,654,115,314,431,2,1210,449,1700,358,372,801,1207,252,418,99,248,166,394,596,1894,184,1127,976,458,21,895,1176,605,64,28,163,303,213
Sample_098,97,181,111,471,326,84,207,125,26,76,130,5,273,114,355,73,113,159,328,57,103,17,56,36,118,152,440,48,308,222,95,9,210,263,194,7,4,38,41,43
Sample_099,172,396,209,1202,675,186,393,252,52,154,215,9,570,238,902,179,221,426,582,185,184,54,212,60,202,345,1057,103,631,471,162,19,507,634,349,43,29,68,176,114
Sample_100,362,870,341,2333,1305,319,1061,547,68,418,524,12,1273,542,1721,454,470,907,1425,396,435,148,353,211,419,680,1989,235,1210,1027,554,106,1023,1168,693,78,44,181,227,154
